id;name;fee;reason;item_type;types_of_fee;agree
1;reboot;49071;visionary info-mediaries;ContractAmount;DueDiligence;true
2;solution-oriented mission-critical Handcrafted;11356;deposit;ContractAmount;DueDiligence;false
3;green Cambridgeshire;69139;hack 巷 connect;CostBudget;DueDiligence;false
4;deposit Brunei transmitting;90116;Balanced 香港 Global;CostBudget;Purchase;false
5;Chair Fish;81800;bluetooth 天津市;ContractAmount;DueDiligence;true
6;SAS;32035;THX;CostBudget;DueDiligence;false
7;complexity;68756;Wooden incentivize Borders;CostBudget;Purchase;false
8;Money;84773;hacking 街 International;CostBudget;Purchase;true
9;relationships;41167;circuit Bike action-items;ContractAmount;DueDiligence;false
10;Estonia;6187;Avon Officer;ContractAmount;IT;true
